motivator_number,model,model_year,guest_signals,recommended_trim_path,on_lot_handles,demo_60_seconds,translate_line,invite_next_step,coach_roleplay_prompt,compliance_note
1,elantra,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",sel -> limited,First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype). [note: N-Line/N if sport presence fits],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
2,elantra,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",se -> sel,Convenience tech; quick setup/phone pairing; simple storage/cargo access; one 'makes life easier' feature.,"Show one convenience feature (pair a phone / driver profile / quick settings). Demonstrate a fast real-life action: load/unload, seat fold, or keyless access. Keep it simple and guest-friendly.",What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
3,elantra,2026,"Asks about value, ownership costs, efficiency, resale, and the smartest trim choice.",sel -> limited,3-bullet value step-up; warranty/ownership story; efficiency/driver info displays (where applicable).,Give the '3-bullet value path': what changes from the value trim to the next trim up. Show one ownership-friendly feature and explain ROI in plain English.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon. [note: or N-Line if that's the best value for them],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
4,elantra,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind.",sel -> limited,Safety/driver-assist walkaround; visibility; cameras/sensors (where equipped); 'what it does for you' translation.,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them. [note: focus on driver-assist availability],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
5,elantra,2026,"Calls it a treat; wants something enjoyable daily; cares about comfort, sound, and that 'wow' feeling.",n_line -> limited,Driver seat comfort moment; sporty feel (N-Line/N where applicable); quick tech + audio moment; clean cockpit vibe.,"Seat them comfortably, adjust one comfort feature, and let them feel the cabin vibe. If appropriate, play a favorite song briefly. Start it and invite a short loop drive-then stop talking.","What that means for you is enjoying the drive, not just owning the vehicle.","Let's take a short loop-if it feels like a reward, you'll know quickly.",Coach: create one memorable moment + deliver one clean close line; then stop talking. [note: or N for pure fun],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
6,elantra,2026,"Talks about family/friends, comfort for passengers, and shared experiences; cares about space and usability.",sel -> limited,Rear seat comfort/legroom; trunk practicality; phone connectivity for passengers; quiet ride feel.,Ask who rides with them most. Show rear seat space and trunk usability for real-life items. Pair a phone quickly and highlight a passenger-friendly USB/comfort feature (where equipped).,What that means for you is everyone gets a good seat-and the plan actually works.,"Let's do a quick drive with everyone comfortable, then we'll confirm the right trim for your 'we' needs.",Role-play: ask a 'we question' then demonstrate passenger space without rushing.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
1,elantra_hybrid,2026,"Wants the top trim; cares about presence, premium feel, 'best one', and how it looks/feels when arriving.",hev_sel_sport -> limited,First impression stance/design; premium cabin materials; dual display/tech walk-through; one premium comfort detail.,Stand 10-15 feet back for the 'arrival moment'. Walk up: call out signature design cues. Open the door: invite them to touch the seat/cabin materials. Sit: show the displays and one premium comfort feature.,What that means for you is a vehicle that represents you the moment you arrive.,"Let's take a short loop so you can feel the quiet, comfort, and premium ride.",Role-play the 'arrival moment' close in one sentence. Coach for calm confidence (no hype). [note: N-Line/N if sport presence fits],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
2,elantra_hybrid,2026,"Talks about control, flexibility, and not wanting surprises; values convenient access and easy day-to-day use.",blue -> hev_sel_sport,Easy efficiency plan; phone/app control; driver profile setup; one 'makes hybrid life simple' feature.,"Show one convenience feature (pair a phone / driver profile / quick settings). Demonstrate a fast real-life action: load/unload, seat fold, or keyless access. Keep it simple and guest-friendly.",What that means for you is fewer obstacles and more control day-to-day.,"If you'd like, we can compare two trims quickly so you choose what gives you the most control for your needs.",Role-play: explain 'control' without jargon-one feature + one benefit in 15 seconds.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
3,elantra_hybrid,2026,"Asks about total cost, incentives, fuel/efficiency value, and the smartest way to buy/lease hybrid.",blue -> hev_sel_sport -> limited,Efficiency story; simple cost comparison (gas vs hybrid efficiency concept); warranty/ownership story.,Give the '3-bullet value path': what changes from the value trim to the next trim up. Show one ownership-friendly feature and explain ROI in plain English.,What that means for you is getting the most return from every dollar you spend.,Let's drive it to make sure the smart choice also feels right-then we'll pick the best value trim.,Role-play: 'smart choice' explanation in 15 seconds with zero jargon.,Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
4,elantra_hybrid,2026,"Mentions safety, confidence, warranties, driver-assist, predictable handling, and peace of mind.",hev_sel_sport -> limited,Confidence features; driver-assist overview; stability/traction feel; visibility and cameras (where equipped).,Point out key safety hardware locations. Show a safety setting/display in the cluster/infotainment. Translate it into 'less stress every trip'.,What that means for you is less stress-and more confidence every trip.,"On the test drive, I'll show you how the safety assists feel in real traffic so you can decide comfortably.",Role-play: explain one safety feature in 10 seconds-what it is + what it means for them. [note: focus on driver-assist availability],Avoid quoting MPG/ratings unless verified on the Monroney/spec sheet. Feature availability varies by trim/package. Confirm exact equipment on the vehicle in front of you.
